,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Posicion,Rango_precio,Tipo_Cocina,Awards,Score_Comida,Score_Servicio,Calidad_Precio,Ambiente,Direccion,Web_TripAdvisor,Latina,Eur Este,Africana,China,Japonesa,Arabe,Mexicana,Caribeña,Asiatica,America Norte,America Sur,Italiana,Española,Eur Occidental,Asador,N/A,India,Num_Reviews_Spain,Latitud,Longitud
14,La Peineta,4.0,6,7,4,1,0,19,2485.0,€,['Española'],0,4.0,4.0,4.0,,"['Calle Bucarest 5A', ' 28022 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5614445-Reviews-La_Taberna_de_la_Peineta-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,40.4261917,-3.603311
15,Cachapeishon,4.0,36,4,5,1,14,62,177.0,€€ - €€€,"['Latina', 'Venezolana']",0,3.0,2.5,2.5,,"['Calle Bravo Murillo 84', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15548776-Reviews-Cachapeishon-Madrid.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40.4452076,-3.7038268
16,BurgerMeister,3.0,11,8,15,6,8,48,378.0,€€ - €€€,['Americana'],0,4.0,3.5,3.0,4.0,"['Avenida Reina Victoria 32', ' 28003 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d7034678-Reviews-BurgerMeister-Madrid.html,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,40.6371487,-4.0193304
17,McDonald's,2.0,0,0,0,1,0,1,8449.0,€€ - €€€,[],0,,,,,"['Centro Comercial Carrefour Ctra. Madrid Irun', ' Km. 14', '500', ' 28100 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d22844644-Reviews-McDonald_s-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,
18,Mesón de la Guitarra,4.0,12,9,2,2,1,34,4392.0,€,['Española'],0,4.0,4.5,4.5,,"['C/ Cava de San Miguel', ' 13', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8122185-Reviews-Meson_de_la_Guitarra-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,40.4152265,-3.7082891
19,Valdemeso,4.0,44,41,11,4,13,169,782.0,€,"['Mediterránea', 'Europea', 'Española']",0,4.0,4.0,4.5,4.0,"['Calle Mesonero Romanos 4', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2316390-Reviews-Valdemeso-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,113,40.419143,-3.7046203
20,El Ancla Del Lago,3.5,13,8,5,2,4,34,3555.0,€€ - €€€,[],0,4.5,4.5,4.5,,"['Paseo Maria Teresa', ' 2 Casa De Campo', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23545736-Reviews-El_Ancla_Del_Lago-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,32,40.418443,-3.7426241
21,Umami Restaurante,5.0,4,0,0,0,0,4,172.0,€€ - €€€,"['Mexicana', 'Americana', 'Española']",0,,,,,"['Calle de Aragon 18 Mejorada del Campo', ' 28840 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23598537-Reviews-Umami_Restaurante-Madrid.html,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,40.3893613,-3.4811407
22,Queen Burger Gourmet,4.0,124,102,31,11,10,288,690.0,€€ - €€€,"['Italiana', 'Española', 'Opciones sin gluten']",1,4.0,4.0,4.0,3.5,"['C\\ San Modesto 34', ' 28034 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3532951-Reviews-Queen_Burger_Gourmet-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,278,40.4855645,-3.6920333
23,La Quintina,3.0,4,16,7,7,10,103,4685.0,€€ - €€€,['Española'],0,3.0,3.0,3.0,,"['Calle Mesonero Romanos 7', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12848622-Reviews-La_Quintina-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,40.419706,-3.7044442
24,Hawaii,2.5,0,2,1,1,2,6,8768.0,€€ - €€€,[],0,,,,,"['Juan Sánchez', ' 24', ' 28035 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d5614341-Reviews-Hawaii-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,,
25,¡Que trabaje Rita,2.5,7,3,6,6,14,47,9066.0,€€ - €€€,[],0,3.0,2.5,2.5,,"['Calle del Almendro 27', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12548187-Reviews-IQue_trabaje_Rita-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,40.4119982,-3.7106862
26,Le Coq Las tablas,4.0,34,21,6,4,6,71,113.0,€€ - €€€,"['Restaurante de carne', 'Internacional', 'Saludable']",0,4.0,4.0,4.0,,"['Calle Viloria de La Rioja 56 Las Tablas', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d12731289-Reviews-Le_Coq_Las_tablas-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,71,40.5060226,-3.6697576
27,La Lonja,4.0,5,1,1,0,1,8,3066.0,€€ - €€€,[],0,,,,,"['Sánchez Barcaiztegui', ' 19', ' 28007 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14215683-Reviews-La_Lonja-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,40.4038837,-3.6748834
28,Restaurante Abaco,3.0,4,5,2,7,9,41,4617.0,€€ - €€€,['Española'],0,2.5,3.0,2.5,3.0,"['Calle Jovellanos 6', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d990809-Reviews-Restaurante_Abaco-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,40.4170446,-3.6966729
29,La Oficina Gastronomica,3.5,2,2,0,0,2,6,7743.0,€€ - €€€,['Italiana'],0,,,,,"['Madrid Sur', ' Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3902952-Reviews-La_Oficina_Gastronomica-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,40.3817878,-3.6632504
30,Café & Té,3.0,4,2,7,2,4,25,2759.0,€,"['Café', 'Mediterránea']",0,,,,,"['Gran Vía', ' 70', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d11748947-Reviews-Cafe_Te-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,19,40.4226238,-3.7093204
31,Paellamar Tirso de Molina,4.5,28,3,0,0,7,44,3095.0,€€ - €€€,"['Mediterránea', 'Española', 'Opciones vegetarianas']",0,4.5,4.5,4.5,,"['Calle de Dona Urraca 15 Mercado Tirso de Molina', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d13322073-Reviews-Paellamar_Tirso_de_Molina-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,38,,
32,"La Parrilla del Pinar, Madrid",3.5,7,4,5,0,4,21,3422.0,€€ - €€€,['Española'],0,3.5,3.5,3.0,,"['Calle Caleruega 85 Madrid', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d3820818-Reviews-La_Parrilla_del_Pinar_Madrid-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,40.4833104,-3.6676942
33,Boga Boga Taberna Premium,4.0,2,1,0,1,0,4,2379.0,€€ - €€€,['Española'],0,,,,,"['Calle Caleruega 85 Pinar de Chamartín', ' 28033 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d24150270-Reviews-Boga_Boga_Taberna_Premium-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,
34,Sana Vegetariana,5.0,2,0,0,0,0,2,5741.0,€€ - €€€,"['Café', 'Asiática', 'Pub']",0,,,,,"['Paseo De Extremadura', ' 4', ' 28011 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23039482-Reviews-Sana_Vegetariana-Madrid.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,40.4091614,-3.7406793
35,Cervecería La Sureña,2.5,1,1,0,2,2,7,4558.0,€€ - €€€,[],0,,,,,"['Av. De Brasil 14', ' 28020 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d13748054-Reviews-Cerveceria_La_Surena-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,40.4539019,-3.6933714
36,El Mono De La Pila,4.5,42,7,5,0,0,64,60.0,€,"['Peruana', 'Latina', 'Española']",1,4.5,4.5,4.5,,"['Calle de Santa Isabel 5 Mercado Anton Martin', ' Planta Principal Puesto 3', ' 28012 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d8449409-Reviews-El_Mono_De_La_Pila-Madrid.html,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,,
37,El Nueve,4.0,23,37,13,2,1,81,1059.0,€€ - €€€,"['Mediterránea', 'Española', 'Opciones vegetarianas']",0,4.0,3.5,4.0,3.5,"['Calle Santa Teresa 9', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d697545-Reviews-El_Nueve-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,76,40.4462751,-3.8029838
38,Paellitas Tradición,4.5,10,4,0,0,2,16,1728.0,€€ - €€€,['Española'],0,5.0,5.0,4.5,5.0,"['Calle Santa Engracia 43', ' 28010 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d25569508-Reviews-Paellitas_Tradicion-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,40.4327234,-3.6979662
